sequence,x,y,z
1,-22.59918772992455,-21.311483098869207,6.0
2,-28.193352809760615,-18.869801032891562,5.9083322734726185
3,-27.78093346227137,-18.768373753642766,5.816664546945237
4,-27.412285738410333,-18.494234438385217,5.7249968204178545
5,-27.14169412663788,-18.065459282745344,5.633329093890473
6,-27.01687951945315,-17.51514858602394,5.5416613673630915
7,-27.075148489552838,-16.88927637900997,5.44999364083571
8,-27.3401956602983,-16.243606043912834,5.358325914308328
9,-27.819775790933384,-15.63985930623259,5.266658187780946
10,-28.504410761015368,-15.141374229249855,5.174990461253564
11,-29.367234877538593,-14.808522466278761,5.083322734726183
12,-30.365013347439298,-14.694174909407888,4.991655008198801
13,-31.440297273249943,-14.839506781015345,4.89998728167142
14,-32.52460825096647,-15.270417864101299,4.808319555144038
15,-33.54248065406608,-15.994811653073567,4.716651828616657
16,-34.41613379326706,-17.000930365794588,4.624984102089274
17,-13.964322420816238,-0.7322761345573987,4.533316375561893
18,-5.644167307896765,10.297111698626711,18.709356126484835
19,24.043635730556073,1.222601846982478,56.3576289076186
20,44.72589487513062,-5.769306306145456,16.29526951815866
21,51.475246844174166,-15.311483098869207,31.089448552692932
22,101.29765829409268,-11.403125432685432,23.22361606401665
23,124.82061592594299,35.42527505182378,20.66280449885315
24,118.8360074233803,43.91247450417874,13.512571045783854
25,129.62174869201831,42.17453920405953,2.7232022765293715
26,128.40055683326685,55.311026027102415,20.77550893317683
27,128.3730599628167,74.36242671629286,5.403893124432656
28,118.78040050658947,80.69456474559128,2.1071576067588826
29,124.6590116051484,101.96622203241063,19.955916073580248
30,86.2208046762881,132.02729626370788,10.57764229414444
31,70.83777449229062,131.93077005809323,2.560964672118443
32,53.86378378658682,131.82450420237083,4.010570705621681
33,39.47467011659182,131.73441246696345,26.01222078700173
34,53.86378378658682,131.82450420237083,18.536446480407637
35,62.25013769174336,131.87701311244186,18.53644648040764
36,97.64481174456938,107.12809184993333,50.36725870134164
37,85.68165383748975,29.621799823985917,56.028382937220954
38,76.54404552964267,44.55678740155361,56.3576289076186
39,44.03349932405756,101.6914595145742,62.347999113895554
40,27.275312027914453,103.22344488442602,56.3576289076186
41,20.94238034976159,86.54549779487618,50.36725870134164
42,-16.59918772992455,78.21366917599771,20.30566823154838
43,14.513754946799398,61.42052295907187,22.543651651573118
44,28.291606421236402,57.8263008353057,29.806589538966094
45,36.64786027843462,56.628226794050306,24.888141028370253
46,35.439258714751276,55.17948081517783,20.03984721378524
47,35.439258714751276,55.17948081517783,16.14610657970522
48,53.233222521589354,69.21535867074572,21.590355931867204
49,55.951389807825166,57.8263008353057,29.036448558645645
50,64.87335880890643,56.628226794050306,25.82239697378068
51,64.01588889288789,62.02691442321338,19.838172646531195
52,63.595494692291695,63.74611817772728,16.54214888829098
53,63.40464255701613,60.150602906086554,6.764670878876835
54,54.477542348320085,56.628226794050306,12.66933162387977
55,35.07567114677869,59.96955114611368,4.80768870723672
56,35.07567114677869,59.96955114611368,14.152666229028767
57,25.854862122297455,55.11822649548465,12.2523659456252
58,23.57439523583409,59.89604596248185,9.480177468132744
59,23.57439523583409,59.89604596248185,4.80768870723672
60,16.455008901148567,49.06765905620142,6.559871992572728
61,16.455008901148567,49.06765905620142,9.480177468132744
62,16.455008901148567,49.06765905620142,12.40048294369276
63,14.02062580322687,55.04259334656176,13.373918102212762
64,1.190514413952,51.36629998737414,22.85763011891493
65,6.963783017941604,49.38492070062411,21.804028236482747
66,6.5609147038921805,49.25047988578634,20.750426354050564
67,6.215639103214905,48.947431592514874,19.69682447161838
68,5.980601449664384,48.498181933784814,18.6432225891862
69,5.900690116712279,47.93958124638952,17.589620706754015
70,6.009372366480848,47.32046941402459,16.53601882432183
71,6.32575657269105,46.69834304550662,15.482416941889648
72,6.8525816785064215,46.13534878901538,14.428815059457465
73,7.575279481317391,45.69385099734951,13.375213177025282
74,8.462190978220418,45.43185147668528,12.3216112945931
75,9.465948122883264,45.39855232807718,11.268009412160916
76,10.525960939377006,45.630349012438,10.214407529728732
77,11.571881131067354,46.14751978746045,9.160805647296549
78,12.527851120723337,46.95184059992927,8.107203764864366
79,13.317295533906542,48.02530331014186,7.053601882432183
80,-22.59918772992455,-21.311483098869207,6.0
