sequence,world_index,owner,sector,cluster,x,y,z,aim_x,aim_y,aim_z,shots,standoff_m
1,380,Anzhong Building,0,52,-13.964322420816238,-0.7322761345573987,4.533316375561893,12.305402557925618,13.923110014111629,4.533316375561893,8,30.08120346069336
2,366,Anzhong Building,0,42,-5.644167307896765,10.297111698626711,18.709356126484835,12.283265459350886,17.59380286311717,21.62966160204485,8,19.574542999267578
3,369,Anzhong Building,1,208,24.043635730556073,1.222601846982478,56.3576289076186,29.3351055278414,15.99117928494919,30.0,8,30.673036575317383
4,325,Anzhong Building,1,163,44.72589487513062,-5.769306306145456,16.29526951815866,37.42430717307044,12.15613272901519,16.29526951815866,8,19.355478286743164
5,303,Anzhong Building,1,136,51.475246844174166,-15.311483098869207,31.089448552692932,55.494591150715706,12.270124153140216,23.82651066529995,8,28.803653717041016
6,376,Anzhong Building,2,23,101.29765829409268,-11.403125432685432,23.22361606401665,91.56236688362632,12.497524655093187,19.329875429936628,8,26.099390029907227
7,377,unassigned,3,39,124.82061592594299,35.42527505182378,20.66280449885315,100.92121532749391,25.686916642934577,20.66280449885315,8,25.80730438232422
8,379,unassigned,3,93,118.8360074233803,43.91247450417874,13.512571045783854,100.8522753135598,51.06928433652358,13.512571045783854,8,19.355478286743164
9,365,unassigned,3,206,129.62174869201831,42.17453920405953,2.7232022765293715,100.86801621924803,42.12394194670317,7.3956910374253955,8,29.130943298339844
10,375,unassigned,3,192,128.40055683326685,55.311026027102415,20.77550893317683,100.8522753135598,51.06928433652358,13.512571045783854,8,28.803653717041016
11,383,unassigned,4,166,128.3730599628167,74.36242671629286,5.403893124432656,100.806671221726,82.71375390362209,5.403893124432656,8,28.803653717041016
12,371,unassigned,4,167,118.78040050658947,80.69456474559128,2.1071576067588826,100.81862622217949,73.48282347665733,5.0274630823188975,8,19.574542999267578
13,367,unassigned,4,200,124.6590116051484,101.96622203241063,19.955916073580248,100.76087258617589,92.22476809087824,19.955916073580248,8,25.80730438232422
14,382,unassigned,5,182,86.2208046762881,132.02729626370788,10.57764229414444,82.20095024507759,104.44576335470327,17.84058018153742,8,28.803653717041016
15,355,unassigned,6,153,70.83777449229062,131.93077005809323,2.560964672118443,75.2035819532948,104.40187773616958,9.823902559511422,4,28.803653717041016
16,293,unassigned,6,152,53.86378378658682,131.82450420237083,4.010570705621681,58.22949001511269,104.29559582617772,11.27350859301466,8,28.803653717041016
17,354,unassigned,6,153,39.47467011659182,131.73441246696345,26.01222078700173,35.454057161774294,104.1529901191914,18.74928289960875,4,28.803653717041016
18,295,unassigned,6,152,53.86378378658682,131.82450420237083,18.536446480407637,58.22949001511269,104.29559582617772,11.27350859301466,8,28.803653717041016
19,297,unassigned,6,152,62.25013769174336,131.87701311244186,18.53644648040764,58.22949001511269,104.29559582617772,11.27350859301466,8,28.803653717041016
20,372,Anzhong Building,5,216,97.64481174456938,107.12809184993333,50.36725870134164,90.86773817048476,99.66461716395418,30.0,8,22.725698471069336
21,356,Anzhong Building,2,172,85.68165383748975,29.621799823985917,56.028382937220954,91.67106089981068,29.910492056341564,29.670754029602357,8,27.031110763549805
22,370,Anzhong Building,1,167,76.54404552964267,44.55678740155361,56.3576289076186,77.2419827946783,30.07690219594257,30.0,8,30.08120346069336
23,378,Anzhong Building,6,38,44.03349932405756,101.6914595145742,62.347999113895554,44.03349932405757,101.6914595145742,30.0,8,32.347999572753906
24,306,Anzhong Building,7,136,27.275312027914453,103.22344488442602,56.3576289076186,27.719453923846224,94.00897248085533,30.0,8,27.92540740966797
25,309,Anzhong Building,7,133,20.94238034976159,86.54549779487618,50.36725870134164,27.719453923846224,94.00897248085533,30.0,8,22.725698471069336
26,359,Anzhong Building,7,155,-16.59918772992455,78.21366917599771,20.30566823154838,12.084903103297165,89.88788755931037,15.633179470652355,8,31.31926918029785
