sequence,world_index,owner,sector,cluster,x,y,z,aim_x,aim_y,aim_z,shots,standoff_m
1,371,Anzhong Building,1,208,23.75871043377917,0.42737075416888715,57.77688584879806,29.3351055278414,15.99117928494919,30.0,9,32.32466125488281
2,312,Anzhong Building,7,133,37.430090226070675,94.47702970964495,57.77688584879806,27.719453923846224,94.00897248085533,30.0,9,29.4290828704834
3,376,Anzhong Building,6,38,44.03349932405756,101.6914595145742,64.08981445079762,44.03349932405757,101.6914595145742,30.0,9,34.089813232421875
4,359,unassigned,6,153,39.32003115679114,130.67358853051067,25.732877022102002,35.454057161774294,104.1529901191914,18.74928289960875,9,27.695819854736328
5,297,unassigned,6,152,62.09549739648834,130.81618937066247,18.257102715507912,58.22949001511269,104.29559582617772,11.27350859301466,9,27.695819854736328
6,293,unassigned,6,152,54.03169556460705,130.76570003405573,4.289914470521411,58.22949001511269,104.29559582617772,11.27350859301466,9,27.695819854736328
7,380,unassigned,6,218,73.83164218915246,123.33244155679948,2.251343529984948,66.37485416734722,104.34659584342027,2.251343529984948,9,20.39769744873047
8,381,unassigned,5,182,86.4372583764302,133.5124557280389,10.186561023284819,82.20095024507759,104.44576335470327,17.84058018153742,9,30.3546199798584
9,369,unassigned,4,200,125.94583447540076,102.4907618600316,19.955916073580248,100.76087258617589,92.22476809087824,19.955916073580248,9,27.196928024291992
10,373,Anzhong Building,5,216,101.04643170149885,90.42203809051932,57.77688584879806,90.86773817048476,99.66461716395418,30.0,9,30.993330001831055
11,383,Anzhong Building,5,-2,98.19424087085338,76.24092464766896,49.25171440799823,92.25288601769095,69.69781263003287,24.0,9,26.753711700439453
12,370,unassigned,7,203,62.626384026707484,65.48177545603657,16.9384118774362,81.59326419599861,31.51248300912609,9.18297908987974,9,39.671173095703125
13,27,unassigned,7,146,47.88589914523143,57.79346702051535,2.2977919299298026,52.087129605151105,31.323907945093257,6.764670878876835,9,27.170589447021484
14,353,Anzhong Building,0,175,30.855208636429182,55.079946494581804,12.920927172543403,42.976031552268346,85.38200378417969,7.996842862983748,9,33.00569152832031
15,354,Anzhong Building,0,175,30.855208636429182,55.079946494581804,7.996842862983748,42.976031552268346,85.38200378417969,7.996842862983748,9,32.636314392089844
16,355,Anzhong Building,0,175,31.91688655606473,57.73414129367066,3.5040652082760326,42.976031552268346,85.38200378417969,7.996842862983748,9,30.114681243896484
17,272,unassigned,7,135,23.581463041952535,58.79015404796795,4.987399813425029,23.758158194913676,31.142856185120383,9.480177468132744,9,28.010522842407227
18,271,unassigned,7,135,23.581463041952535,58.79015404796795,9.480177468132744,23.758158194913676,31.142856185120383,9.480177468132744,9,27.647863388061523
19,269,unassigned,0,135,14.395146279830207,54.12337268650632,5.736196089209647,23.758158194913676,31.142856185120383,9.480177468132744,9,25.09556770324707
20,273,unassigned,0,135,16.735899258601073,48.378243561159834,6.672191433940421,23.758158194913676,31.142856185120383,9.480177468132744,9,18.82167625427246
21,274,unassigned,0,135,16.735899258601073,48.378243561159834,9.480177468132744,23.758158194913676,31.142856185120383,9.480177468132744,9,18.61103630065918
22,276,unassigned,0,135,16.735899258601073,48.378243561159834,12.288163502325066,23.758158194913676,31.142856185120383,9.480177468132744,9,18.82167625427246
23,270,unassigned,0,135,14.395146279830207,54.12337268650632,13.22415884705584,23.758158194913676,31.142856185120383,9.480177468132744,9,25.09556770324707
24,351,Anzhong Building,7,175,13.99766151364323,60.13028937618145,22.543651651573118,24.09834727684254,85.38200378417969,22.543651651573118,9,27.196928024291992
25,366,unassigned,0,40,0.5803336245100859,52.45912123667999,23.107129038006363,12.522443360730435,31.071048214551173,18.224078764359703,9,24.978147506713867
26,363,Anzhong Building,7,155,-18.143715697867258,77.58505741689626,20.55726378021201,12.084903103297165,89.88788755931037,15.633179470652355,9,33.00569152832031
27,77,Anzhong Building,7,130,29.391000216903166,68.10208972761154,6.909459340062211,29.391000216903166,85.38200378417969,6.909459340062211,9,17.27991485595703
28,367,unassigned,7,188,51.68494222212085,69.21535867074572,21.841951480530835,81.98699951171875,69.21535867074572,16.917867170971178,9,30.69953155517578
29,0,Anzhong Building,0,146,55.79011060996386,58.88613556410855,28.757104793745917,51.7581306634313,85.3820037841797,21.77351067125267,9,27.695819854736328
30,362,Anzhong Building,0,21,65.31572460875458,57.734141293670675,25.64268586759237,76.37486960495819,85.3820037841797,21.149908212884654,9,30.114681243896484
31,372,Anzhong Building,1,167,76.5064642922946,45.33647352800959,57.77688584879806,77.2419827946783,30.07690219594257,30.0,9,31.700960159301758
32,361,Anzhong Building,2,149,84.50144714812473,33.60157425653688,56.1666222496735,91.67106089981068,29.910492056341564,29.670754029602357,9,27.695819854736328
33,377,unassigned,3,93,119.8043622292937,43.527107820898635,13.512571045783854,100.8522753135598,51.06928433652358,13.512571045783854,9,20.39769744873047
34,368,unassigned,3,206,131.17002659439822,42.17726367176333,2.4716067278657405,100.86801621924803,42.12394194670317,7.3956910374253955,9,30.69953155517578
35,375,unassigned,3,39,126.10750672739793,35.94964819691782,20.66280449885315,100.92121532749391,25.686916642934577,20.66280449885315,9,27.196928024291992
36,374,Anzhong Building,2,23,101.8218662931178,-12.690083514335047,23.43327902123634,91.56236688362632,12.497524655093187,19.329875429936628,9,27.504741668701172
37,317,Anzhong Building,1,162,64.51570688670118,-16.7130156398971,23.82651066529995,55.494591150715706,12.270124153140216,23.82651066529995,9,30.3546199798584
38,316,Anzhong Building,1,162,59.69363644680412,-14.199781657534952,30.810104787793193,55.494591150715706,12.270124153140216,23.82651066529995,9,27.695819854736328
39,333,Anzhong Building,1,230,49.735907359928845,-18.068915244117157,16.29526951815866,37.42430717307044,12.15613272901519,16.29526951815866,9,32.636314392089844
40,325,Anzhong Building,1,163,45.11905728985693,-6.734522254192566,16.29526951815866,37.42430717307044,12.15613272901519,16.29526951815866,9,20.39769744873047
41,378,Anzhong Building,0,52,-15.378846073517717,-1.521412311793421,4.533316375561893,12.305402557925618,13.923110014111629,4.533316375561893,9,31.700960159301758
